"Index " ,"Manufacturer Part Number " ,"Manufacturer Name               " ,"Description                      " ,Requested Quantity      ,Digi-Key Part Number         ,Unit Price      ,Extended Price      ,Reference Designator
"1     " ,"OD103JE                  " ,"Ohmite                          " ,"RES 10K OHM 5% 1/4W AXIAL        " ,"2                    " ,"OD103JE-ND                " ,"1.23000      " ,"$2.46            " ,"R1, R2"
"2     " ,"110990030                " ,"Seeed Technology Co., Ltd"        ,"GROVE 2MM 4PIN VERT CONN 10PCS   " ,"1                    " ,"1597-1082-ND              " ,"2.34000      " ,"$2.34            " ,"J2, J4, J5"
"3     " ,"110990027                " ,"Seeed Technology Co., Ltd"        ,"GROVE 4PIN CABLES 5PCS 20CM      " ,"2                    " ,"1597-1089-ND              " ,"4.40000      " ,"$8.80            " ,
"4     " ,"PH1-10-UA                " ,"Adam Tech                       " ,"CONN HEADER VERT 10POS 2.54MM    " ,"10                   " ,"2057-PH1-10-UA-ND         " ,"0.20500      " ,"$2.05            " ,
"5     " ,"1714955                  " ,"Phoenix Contact                 " ,"TERM BLK 2P SIDE ENT 6.35MM PCB  " ,"2                    " ,"277-1269-ND               " ,"2.59000      " ,"$5.18            " ,"J1, J3"
"6     " ,"0686F1000-01             " ,"Bel Fuse Inc.                   " ,"FUSE BRD MNT 1A 32VAC 63VDC 0603 " ,"2                    " ,"507-2147-1-ND             " ,"0.39000      " ,"$0.78            " ,"F1, F2"
"7     " ,"CZRB5359B-HF             " ,"Comchip Technology              " ,"DIODE ZENER 24V 5W DO214AA       " ,"1                    " ,"641-1811-1-ND             " ,"0.85000      " ,"$0.85            " ,D4
"8     " ,"PLVA650A,215"              ,"Nexperia USA Inc.               " ,"DIODE ZENER 5V 250MW TO236AB     " ,"1                    " ,"1727-5167-1-ND            " ,"0.56000      " ,"$0.56            " ,D2
"9     " ,"CRG0805F100K             " ,"TE Connectivity Passive Product " ,"RES SMD 100K OHM 1% 1/8W 0805    " ,"2                    " ,"A106052CT-ND              " ,"0.15000      " ,"$0.30            " ,"R3, R4"
"10    " ,"CL10B104KB8NNNL          " ,"Samsung Electro-Mechanics       " ,"CAP CER 0.1UF 50V X7R 0603       " ,"2                    " ,"1276-CL10B104KB8NNNLCT-ND " ,"0.14000      " ,"$0.28            " ,"C1, C2"
"11    " ,"BZX84-C18,235"             ,"Nexperia USA Inc.               " ,"DIODE ZENER 18V 250MW TO236AB    " ,"2                    " ,"1727-6254-1-ND            " ,"0.23000      " ,"$0.46            " ,"D1, D3"
"12    " ,"BSP250,115"                ,"Nexperia USA Inc.               " ,"MOSFET P-CH 30V 3A SOT223        " ,"2                    " ,"1727-4930-1-ND            " ,"0.89000      " ,"$1.78            " ,"Q1, Q2"